Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Classification,average_price_usd_2020
3 Series,2010,North America,White,Hybrid,Automatic,1.9,196370,54355,Low,38718.0
5 Series,2017,Europe,Black,Hybrid,Automatic,2.2,80669,83534,Low,37094.0
X6,2021,Middle East,Black,Hybrid,Manual,3.7,31002,76331,Low,64573.0
M3,2021,Europe,Red,Electric,Manual,3.5,191420,67071,Low,78268.0
M3,2021,South America,White,Electric,Manual,3.3,155074,81955,Low,75234.0
X3,2016,South America,Blue,Electric,Manual,2.4,1367,93119,High,40754.0
i3,2019,South America,Red,Electric,Manual,2.9,53770,43355,Low,42203.0
5 Series,2022,Asia,White,Petrol,Automatic,1.6,157014,82718,High,35660.0
5 Series,2020,Europe,Red,Electric,Automatic,1.6,109899,97243,Low,32560.0
M5,2017,South America,Red,Diesel,Automatic,1.8,192614,89202,High,111760.0
X3,2024,Europe,Grey,Petrol,Automatic,3.5,196564,98393,Low,41934.0
7 Series,2022,South America,Silver,Diesel,Automatic,4.5,194724,77628,Low,93471.0
M3,2022,North America,Blue,Petrol,Manual,2.4,194721,79258,Low,75189.0
X6,2015,Europe,Grey,Petrol,Manual,1.6,95449,95547,High,66954.0
X6,2021,North America,Blue,Hybrid,Manual,4.0,69987,107850,Low,64185.0
M5,2023,South America,White,Hybrid,Automatic,2.0,70065,36384,Low,109788.0
5 Series,2018,Europe,Grey,Hybrid,Automatic,2.9,153505,86903,High,32100.0
M5,2016,Africa,White,Petrol,Manual,2.1,146824,101928,Low,108467.0
X6,2024,Asia,Silver,Electric,Manual,1.9,81873,43075,Low,65408.0
5 Series,2019,Africa,Silver,Petrol,Automatic,3.8,92969,65391,Low,33432.0
X6,2014,Asia,Grey,Petrol,Automatic,4.9,14630,72966,Low,66297.0
X3,2017,Europe,Grey,Petrol,Automatic,3.9,5149,102440,Low,40785.0
X3,2024,South America,Red,Hybrid,Automatic,4.9,174466,115474,Low,40261.0
7 Series,2011,Asia,Black,Diesel,Automatic,3.0,71799,33664,Low,88555.0
X1,2016,Asia,Silver,Petrol,Automatic,4.6,53116,60088,Low,35362.0
M3,2024,Europe,Black,Hybrid,Manual,2.2,18808,104156,High,77484.0
3 Series,2013,Europe,Black,Electric,Automatic,1.9,62030,32480,Low,39603.0
X5,2018,South America,Silver,Hybrid,Manual,4.0,17896,35179,Low,56479.0
5 Series,2010,Middle East,Black,Electric,Manual,2.6,7800,101793,Low,34630.0
X1,2016,Africa,Silver,Petrol,Automatic,3.8,56293,71597,High,38529.0
X1,2015,Europe,Red,Petrol,Automatic,2.7,110058,78427,High,37950.0
5 Series,2017,Europe,Blue,Petrol,Manual,3.5,158689,94009,Low,36932.0
7 Series,2014,Asia,Silver,Electric,Automatic,2.5,61072,74372,Low,94751.0
M5,2024,North America,Red,Electric,Manual,4.2,136894,59930,Low,113061.0
X6,2010,South America,Blue,Diesel,Manual,2.6,19074,96751,Low,65103.0
X3,2018,Africa,Silver,Electric,Automatic,1.6,160862,31385,Low,43842.0
X3,2024,Africa,Grey,Hybrid,Manual,4.3,38665,77850,Low,41901.0
X6,2019,Africa,Red,Electric,Manual,3.7,93298,94544,Low,60320.0
X5,2015,South America,Grey,Diesel,Manual,2.2,138082,44537,Low,55365.0
7 Series,2019,Middle East,Black,Hybrid,Automatic,2.3,159707,79657,Low,99154.0
M3,2014,North America,Black,Hybrid,Manual,2.4,7222,98155,Low,77102.0
5 Series,2024,South America,White,Diesel,Manual,3.5,1782,42730,Low,34909.0
5 Series,2010,Asia,Blue,Hybrid,Automatic,3.4,73363,109249,Low,32335.0
i8,2015,Africa,Black,Electric,Manual,2.5,122496,38525,Low,143256.0
M3,2015,South America,Red,Petrol,Manual,3.9,98857,68551,Low,75938.0
X6,2022,Africa,Red,Diesel,Automatic,1.7,153879,45612,Low,64310.0
X3,2017,South America,Grey,Petrol,Manual,3.0,156122,111449,High,40178.0
M3,2023,North America,Black,Petrol,Manual,3.6,138926,111075,High,74118.0
X5,2024,Africa,Grey,Electric,Manual,3.6,11808,95385,Low,56197.0
X5,2010,South America,Black,Hybrid,Automatic,1.6,186171,117531,High,59020.0
X1,2010,North America,Silver,Electric,Manual,2.2,199193,39534,Low,37020.0
7 Series,2015,Europe,Silver,Diesel,Manual,1.7,155819,85286,High,87376.0
i3,2019,North America,Black,Electric,Manual,3.5,89474,104334,Low,41378.0
X3,2022,North America,Silver,Hybrid,Manual,3.8,128059,79145,High,42695.0
X3,2015,North America,White,Petrol,Automatic,2.7,177147,41131,High,40252.0
X1,2010,South America,Black,Hybrid,Manual,2.7,196485,112375,Low,39390.0
3 Series,2023,Africa,Red,Hybrid,Manual,4.4,188688,40367,High,35633.0
3 Series,2022,Europe,Grey,Diesel,Automatic,2.2,27834,36057,Low,35636.0
i8,2015,Africa,Blue,Diesel,Manual,3.4,185741,54735,Low,144129.0
3 Series,2012,Asia,Black,Hybrid,Manual,4.2,198263,106119,Low,38897.0
5 Series,2023,South America,Red,Hybrid,Automatic,4.4,116677,99064,High,36296.0
X5,2023,North America,Silver,Electric,Automatic,3.8,44960,106049,Low,59470.0
i8,2017,Europe,White,Hybrid,Manual,4.4,104721,53252,High,142815.0
X5,2022,South America,Red,Petrol,Manual,4.1,169309,79098,Low,59149.0
X1,2024,Africa,Grey,Electric,Manual,4.0,112536,43197,Low,38692.0
5 Series,2015,Middle East,Red,Petrol,Manual,1.7,64706,41316,Low,35724.0
X1,2022,Europe,Blue,Electric,Automatic,1.7,73133,80792,Low,37739.0
M5,2020,North America,White,Electric,Automatic,3.9,194797,82234,High,105276.0
M3,2022,South America,Red,Petrol,Automatic,4.8,185202,106834,Low,70131.0
X5,2010,South America,Blue,Hybrid,Manual,4.2,121767,118740,Low,59091.0
X5,2024,South America,Red,Diesel,Automatic,4.4,74169,39674,High,55167.0
3 Series,2014,North America,White,Petrol,Automatic,3.4,44804,95356,High,38194.0
i8,2017,Middle East,Blue,Hybrid,Automatic,2.6,52965,63512,Low,155145.0
3 Series,2015,North America,White,Electric,Manual,3.9,73420,90613,Low,37625.0
X6,2015,Europe,Grey,Electric,Automatic,2.8,153088,118908,Low,60433.0
X3,2019,South America,Grey,Petrol,Automatic,1.6,164012,106893,Low,43991.0
3 Series,2010,Asia,Grey,Hybrid,Automatic,4.7,151653,89331,Low,35245.0
3 Series,2016,Europe,Blue,Petrol,Automatic,2.1,137159,36180,High,39954.0
X1,2019,Europe,Grey,Diesel,Manual,2.6,135101,48237,Low,38016.0
M5,2024,North America,Silver,Electric,Manual,4.4,183341,103303,High,107541.0
X1,2014,South America,White,Electric,Automatic,2.7,160160,59190,Low,38288.0
X1,2019,South America,Grey,Petrol,Automatic,4.3,21412,41080,High,39379.0
X6,2013,Asia,Silver,Diesel,Automatic,1.7,82107,67238,Low,60758.0
3 Series,2015,Africa,Grey,Petrol,Manual,3.8,20086,83623,Low,39138.0
X3,2015,South America,Black,Hybrid,Manual,3.9,45360,66588,Low,41182.0
M5,2020,Africa,Grey,Hybrid,Automatic,3.2,119365,77408,Low,106367.0
X6,2011,South America,White,Petrol,Manual,3.9,197776,74994,Low,69211.0
M3,2011,South America,Grey,Diesel,Automatic,4.7,42774,81716,Low,76991.0
M3,2013,Africa,Red,Diesel,Automatic,4.1,47589,73208,High,78405.0
7 Series,2010,North America,Silver,Electric,Automatic,4.9,115035,70665,Low,98619.0
X5,2018,Asia,Blue,Hybrid,Automatic,3.1,32510,95354,Low,56458.0
3 Series,2023,Middle East,Silver,Diesel,Automatic,3.3,123776,62651,High,37801.0
X3,2023,North America,Grey,Petrol,Automatic,2.4,75370,43529,High,44244.0
5 Series,2016,North America,Silver,Petrol,Automatic,1.7,42920,60946,High,33298.0
7 Series,2016,Europe,Silver,Petrol,Manual,2.5,11435,62487,High,99015.0
X5,2024,Europe,Black,Petrol,Automatic,2.9,182215,37285,Low,56368.0
M3,2024,Middle East,Grey,Diesel,Automatic,2.8,170933,60486,Low,70227.0
M3,2020,Europe,Blue,Petrol,Manual,4.7,189613,59999,Low,77838.0
M5,2024,North America,Grey,Diesel,Manual,3.0,44008,107127,Low,114073.0
X1,2021,Middle East,Red,Electric,Manual,4.5,66287,104136,Low,37535.0
X3,2012,Middle East,Red,Hybrid,Manual,3.3,180388,56728,Low,41329.0
X5,2010,Europe,Black,Petrol,Manual,2.6,160263,82465,Low,58374.0
7 Series,2012,Africa,White,Hybrid,Automatic,3.1,96960,55812,Low,93064.0
3 Series,2012,Europe,Grey,Diesel,Automatic,3.0,47734,59557,Low,39736.0
X6,2013,Asia,Blue,Hybrid,Automatic,2.4,32304,99668,High,60738.0
5 Series,2013,Middle East,Red,Electric,Automatic,2.5,37318,89308,High,36835.0
X6,2012,Middle East,Red,Petrol,Automatic,2.2,120062,79434,Low,65159.0
M5,2019,Africa,Red,Diesel,Manual,2.7,173881,61542,Low,111442.0
M3,2021,Africa,White,Diesel,Manual,3.7,110410,101118,High,78481.0
i3,2017,Middle East,Grey,Diesel,Manual,2.9,46013,65814,High,42119.0
3 Series,2017,Europe,Blue,Hybrid,Manual,4.0,196607,80087,Low,37314.0
X3,2022,Europe,White,Hybrid,Manual,5.0,190598,31062,Low,40106.0
X6,2010,Middle East,Silver,Electric,Manual,3.1,20179,37344,Low,60912.0
X5,2016,South America,Blue,Hybrid,Automatic,2.1,166638,63454,Low,56795.0
M3,2020,Africa,Black,Electric,Manual,2.9,167841,103156,High,70953.0
7 Series,2011,Middle East,White,Diesel,Manual,4.0,1787,54917,Low,90687.0
7 Series,2010,Africa,White,Hybrid,Automatic,2.3,89847,89383,High,88037.0
X5,2012,Europe,Grey,Diesel,Manual,2.1,4670,104300,High,56078.0
X5,2013,South America,Grey,Diesel,Manual,2.8,35607,108668,High,57382.0
7 Series,2022,Europe,Red,Electric,Automatic,4.4,164232,75764,High,90042.0
X1,2015,North America,Silver,Electric,Automatic,3.7,13206,103053,Low,36366.0
M5,2019,Asia,White,Electric,Manual,4.9,145455,38786,Low,107462.0
i8,2014,North America,Grey,Hybrid,Manual,2.0,53303,48698,Low,151803.0
M3,2024,North America,White,Electric,Manual,1.6,108070,30086,Low,75334.0
5 Series,2023,North America,Black,Diesel,Manual,3.3,90740,63245,Low,35143.0
X6,2013,South America,White,Diesel,Automatic,3.3,167909,33437,Low,68792.0
M5,2017,North America,White,Electric,Automatic,2.0,55589,54968,Low,108744.0
X3,2020,Africa,Red,Electric,Manual,1.9,78589,65900,Low,44899.0
X6,2023,Middle East,White,Hybrid,Automatic,4.5,170830,102740,Low,61121.0
X3,2013,Africa,Grey,Electric,Manual,4.8,112959,46537,Low,41048.0
M5,2022,Asia,White,Hybrid,Manual,1.9,57053,102761,Low,105408.0
M3,2019,Europe,Black,Diesel,Automatic,2.2,188892,47914,Low,78272.0
M5,2021,Africa,Blue,Hybrid,Automatic,1.8,69497,106958,Low,114823.0
X6,2022,Middle East,Blue,Petrol,Manual,4.6,192672,53973,Low,60660.0
X6,2024,Europe,Blue,Diesel,Automatic,2.4,58652,58735,High,67687.0
M5,2012,North America,Blue,Hybrid,Manual,2.6,137746,73258,Low,114264.0
i8,2015,Europe,White,Electric,Manual,2.8,23268,32730,High,142307.0
X6,2017,Africa,Silver,Electric,Manual,3.3,22938,104280,Low,66281.0
M5,2017,Africa,Red,Hybrid,Manual,3.9,69322,37728,Low,114153.0
5 Series,2024,Middle East,Silver,Electric,Automatic,3.3,65257,106995,Low,32438.0
7 Series,2020,Middle East,Black,Electric,Manual,4.8,172040,43055,Low,95478.0
3 Series,2024,North America,Blue,Diesel,Automatic,1.8,134607,75541,High,38470.0
X1,2018,Africa,Blue,Electric,Manual,4.3,83570,92888,High,36555.0
X1,2016,South America,Blue,Electric,Manual,2.7,74487,78347,Low,35207.0
X5,2022,Asia,Silver,Diesel,Manual,2.8,140684,41355,High,58601.0
3 Series,2011,Africa,Silver,Hybrid,Manual,4.0,49222,97639,Low,37590.0
X6,2017,Europe,Grey,Hybrid,Automatic,4.8,66504,96578,Low,68282.0
X5,2016,Africa,Grey,Diesel,Manual,4.0,46623,40008,Low,56855.0
X3,2017,Africa,Blue,Hybrid,Manual,4.2,195433,79706,High,43970.0
X5,2021,Europe,Grey,Diesel,Manual,4.1,126131,92013,Low,58367.0
5 Series,2012,Asia,Blue,Petrol,Manual,2.6,22677,107765,High,37746.0
5 Series,2016,Asia,Black,Electric,Manual,4.1,57324,64684,Low,33133.0
X5,2019,Europe,White,Petrol,Automatic,4.2,96667,46763,Low,57481.0
3 Series,2022,North America,Grey,Petrol,Automatic,3.4,194551,116361,High,38603.0
i3,2018,Africa,Black,Diesel,Manual,3.4,66127,81214,High,43336.0
7 Series,2012,Africa,Blue,Petrol,Automatic,4.2,148952,82242,High,85331.0
X1,2023,North America,Blue,Electric,Automatic,4.4,46441,33046,Low,35985.0
X1,2019,Europe,White,Electric,Manual,2.7,94016,103738,Low,36829.0
X1,2015,Asia,Red,Hybrid,Automatic,4.3,152222,72725,High,38602.0
X5,2011,Africa,Black,Electric,Automatic,4.3,195175,35055,Low,58487.0
X6,2011,North America,Silver,Electric,Manual,2.3,165912,55917,High,64240.0
X3,2014,Africa,Silver,Diesel,Automatic,4.0,91891,43663,Low,43756.0
X1,2014,Africa,Silver,Petrol,Manual,2.2,106164,99447,Low,35173.0
3 Series,2022,Africa,Black,Petrol,Manual,1.8,154513,69090,Low,35929.0
7 Series,2016,Africa,Grey,Hybrid,Manual,3.5,48618,100897,Low,85963.0
X3,2011,North America,Black,Petrol,Manual,1.6,59748,30570,Low,43738.0
M3,2020,Middle East,White,Hybrid,Manual,4.4,185910,73968,High,74602.0
5 Series,2023,North America,Grey,Electric,Manual,3.3,197547,51358,Low,34211.0
X3,2022,North America,Black,Petrol,Manual,4.5,48584,44428,High,42664.0
X1,2016,Europe,Black,Petrol,Manual,4.5,43620,33662,High,36958.0
X6,2014,Asia,Blue,Petrol,Automatic,4.6,164873,70499,Low,68433.0
X1,2023,South America,Black,Hybrid,Automatic,4.2,10008,93772,Low,39212.0
i8,2015,North America,White,Diesel,Manual,4.5,60988,40920,Low,156334.0
7 Series,2017,Europe,White,Petrol,Manual,2.1,51199,117088,High,95841.0
M3,2019,Middle East,Black,Petrol,Automatic,2.6,35510,53200,Low,70282.0
3 Series,2022,North America,Red,Diesel,Automatic,2.3,145893,48907,Low,37346.0
M3,2023,Asia,Blue,Petrol,Manual,4.1,167781,74557,High,70642.0
3 Series,2021,Middle East,White,Petrol,Automatic,2.0,29865,59728,Low,37283.0
M3,2013,South America,White,Electric,Automatic,2.1,135230,115014,Low,73448.0
X6,2022,North America,Silver,Hybrid,Manual,4.6,142280,61954,High,65343.0
X5,2016,Middle East,Black,Electric,Manual,4.0,35320,107061,Low,57181.0
i8,2015,Africa,Blue,Hybrid,Manual,4.6,169218,77613,High,147177.0
X6,2019,North America,Red,Hybrid,Automatic,2.0,46506,47178,High,63634.0
7 Series,2011,Europe,Grey,Diesel,Automatic,2.9,97738,116314,Low,95947.0
3 Series,2024,Middle East,Red,Petrol,Manual,2.5,51203,101507,Low,36561.0
M3,2017,Middle East,Grey,Petrol,Manual,1.5,109723,89143,Low,74375.0
7 Series,2019,South America,White,Electric,Manual,2.5,117032,91181,High,86697.0
5 Series,2018,South America,Silver,Hybrid,Automatic,2.8,4618,91872,High,33728.0
X3,2014,Asia,Blue,Diesel,Automatic,1.8,166642,76428,Low,41249.0
i3,2019,Africa,White,Diesel,Manual,3.5,22943,106172,Low,44819.0
M5,2013,Middle East,Silver,Electric,Automatic,2.8,54865,68152,Low,108615.0
i8,2015,Africa,Blue,Electric,Manual,1.7,128807,80412,Low,158320.0
i3,2017,Middle East,Grey,Diesel,Automatic,4.0,133941,31875,Low,42548.0
5 Series,2020,Asia,Red,Hybrid,Automatic,4.1,98285,44299,Low,31301.0
X1,2012,Europe,Blue,Diesel,Automatic,3.2,101762,81416,High,39851.0
5 Series,2019,Europe,Grey,Diesel,Automatic,4.9,22412,59780,High,34330.0
7 Series,2020,North America,White,Diesel,Automatic,3.4,120304,114244,Low,95937.0
X3,2010,Asia,Silver,Diesel,Manual,3.1,158514,53436,Low,42237.0
M5,2013,Asia,Silver,Electric,Manual,1.5,6820,101691,High,110564.0
5 Series,2024,Europe,White,Hybrid,Manual,4.0,111348,76399,Low,32177.0
3 Series,2013,South America,Black,Electric,Manual,3.5,176751,55999,High,39411.0
X6,2018,Middle East,Red,Hybrid,Manual,3.6,144909,92292,Low,69054.0
M5,2012,Middle East,Silver,Hybrid,Automatic,5.0,67959,46036,Low,108189.0
M5,2014,Middle East,Silver,Electric,Manual,4.5,28402,102802,Low,106324.0
i8,2015,North America,White,Hybrid,Manual,4.8,169331,82573,Low,156393.0
X1,2017,Middle East,Black,Diesel,Automatic,2.6,24483,73427,Low,35666.0
i3,2015,Asia,Grey,Diesel,Automatic,2.0,87327,116951,Low,42913.0
5 Series,2012,Middle East,Blue,Hybrid,Automatic,4.3,27816,88942,Low,37582.0
5 Series,2015,Asia,Silver,Electric,Automatic,4.3,187687,100010,Low,31370.0
3 Series,2010,Europe,Grey,Petrol,Manual,2.2,169375,95581,High,35610.0
X5,2013,North America,Red,Hybrid,Manual,4.2,15243,77131,Low,55153.0
X5,2015,Middle East,White,Petrol,Automatic,3.5,71402,104314,Low,57084.0
5 Series,2016,Asia,Silver,Petrol,Automatic,1.9,117208,67082,Low,37031.0
X1,2020,Europe,Grey,Hybrid,Manual,3.3,116568,103587,High,39844.0
5 Series,2022,Middle East,Black,Hybrid,Manual,4.8,152199,112878,Low,33603.0
7 Series,2020,Africa,White,Hybrid,Automatic,3.3,37545,89848,Low,89616.0
M3,2019,Asia,White,Diesel,Automatic,4.3,100066,38586,Low,77748.0
M5,2012,North America,Black,Electric,Automatic,1.6,42309,73491,High,106290.0
3 Series,2018,North America,Silver,Electric,Automatic,4.0,186090,55239,Low,38738.0
M5,2021,North America,Black,Hybrid,Automatic,4.8,16811,85667,Low,113703.0
M3,2021,South America,Silver,Hybrid,Automatic,3.2,46297,85272,Low,76870.0
5 Series,2016,Middle East,Red,Electric,Manual,2.7,25940,113183,Low,32788.0
3 Series,2023,North America,Black,Hybrid,Manual,3.8,58998,66536,Low,35374.0
X1,2010,North America,Black,Diesel,Automatic,4.7,167753,35493,Low,35009.0
5 Series,2010,Asia,White,Hybrid,Manual,2.9,182681,119810,Low,36296.0
5 Series,2020,Asia,Red,Petrol,Automatic,2.0,54427,36337,Low,34102.0
5 Series,2018,Middle East,Black,Diesel,Automatic,3.2,105857,88068,Low,30366.0
7 Series,2018,Europe,Silver,Diesel,Automatic,3.4,13355,93050,Low,94704.0
5 Series,2016,Africa,Silver,Electric,Manual,4.8,92486,103388,Low,31421.0
X6,2019,North America,Black,Hybrid,Automatic,2.9,103054,32771,Low,62105.0
7 Series,2022,Africa,White,Petrol,Automatic,4.6,40095,95924,Low,94282.0
X1,2014,North America,Black,Hybrid,Automatic,3.9,175769,90995,Low,36484.0
M3,2024,Asia,Silver,Hybrid,Manual,4.2,152511,110101,Low,73333.0
3 Series,2013,Asia,Blue,Petrol,Manual,2.7,191985,63310,Low,39298.0
X1,2016,South America,Silver,Electric,Manual,2.1,173367,104076,Low,38827.0
M3,2023,Middle East,Red,Hybrid,Automatic,3.3,50263,97193,Low,70923.0
X1,2018,Asia,Silver,Hybrid,Automatic,2.7,10325,60014,Low,37637.0
M5,2021,Middle East,White,Electric,Manual,2.4,124890,79853,High,108221.0
5 Series,2011,South America,Silver,Electric,Automatic,4.9,38052,100467,Low,35361.0
X6,2022,South America,White,Electric,Automatic,3.3,109191,112884,Low,64044.0
M5,2017,North America,Red,Hybrid,Manual,4.5,195725,74595,Low,105370.0
M3,2024,Europe,Black,Diesel,Manual,2.2,165245,93453,Low,75508.0
M5,2018,Africa,Grey,Diesel,Automatic,4.8,148801,103841,High,110808.0
X6,2019,Europe,White,Diesel,Manual,4.3,68806,63007,High,66505.0
M3,2023,South America,Grey,Petrol,Automatic,4.3,126362,47526,Low,77426.0
i3,2019,Middle East,Black,Electric,Manual,2.9,40131,38646,Low,43686.0
X3,2018,Africa,Black,Electric,Automatic,3.2,70125,85448,Low,42057.0
X6,2019,Middle East,Red,Petrol,Manual,4.3,177454,63851,Low,62229.0
X5,2023,Europe,Black,Diesel,Automatic,4.5,51337,39383,Low,59844.0
i3,2016,Middle East,White,Hybrid,Automatic,1.8,191746,71640,Low,42006.0
X1,2024,Asia,Blue,Electric,Manual,4.7,142998,118028,Low,37662.0
7 Series,2018,Africa,White,Hybrid,Automatic,4.8,164353,52051,High,97771.0
5 Series,2018,Europe,White,Petrol,Automatic,3.6,177216,112106,Low,32127.0
M5,2023,Asia,Silver,Diesel,Manual,2.2,185967,44249,Low,113480.0
X5,2012,North America,Black,Electric,Manual,4.4,180542,101306,Low,57986.0
X3,2013,South America,Red,Diesel,Manual,3.4,194361,101707,Low,41389.0
X6,2011,Asia,Blue,Petrol,Manual,4.4,70180,70462,Low,60118.0
M5,2019,Europe,Red,Hybrid,Automatic,4.4,123068,85438,High,110617.0
X1,2012,Europe,White,Hybrid,Manual,1.8,75067,70913,Low,39142.0
M3,2020,South America,Black,Diesel,Automatic,3.6,139028,71532,High,78260.0
3 Series,2014,North America,Black,Electric,Manual,4.8,90461,85453,Low,35256.0
X1,2014,Middle East,Silver,Electric,Automatic,2.5,19864,41519,Low,35678.0
X5,2015,North America,Grey,Diesel,Automatic,2.2,20526,89592,Low,56597.0
X5,2022,Europe,Black,Petrol,Automatic,4.6,132944,90147,Low,58090.0
M5,2016,Africa,Grey,Electric,Automatic,2.0,134695,32404,Low,112856.0
X3,2016,Middle East,White,Petrol,Manual,3.9,46422,63211,Low,41110.0
3 Series,2010,Asia,Grey,Hybrid,Manual,2.6,33746,31316,High,35440.0
7 Series,2023,Middle East,Blue,Electric,Manual,3.5,60651,65172,Low,90734.0
X3,2018,Middle East,Grey,Electric,Automatic,4.9,135873,86707,High,40427.0
M3,2019,Middle East,Black,Hybrid,Automatic,2.0,158466,100748,Low,71674.0
X3,2015,North America,White,Electric,Manual,3.0,187323,111837,Low,43178.0
5 Series,2020,North America,Blue,Hybrid,Manual,3.7,170133,97973,Low,35623.0
5 Series,2020,Asia,White,Diesel,Manual,2.9,162095,106490,High,33563.0
X5,2010,Europe,Black,Petrol,Automatic,1.8,11433,65352,High,58430.0
M5,2012,Africa,Red,Petrol,Manual,4.8,106479,98160,Low,108337.0
X3,2012,South America,Black,Hybrid,Automatic,2.7,128769,60156,High,44255.0
X1,2014,South America,Grey,Electric,Manual,3.1,151025,59130,Low,37221.0
7 Series,2020,South America,White,Petrol,Manual,2.3,148286,81716,High,86668.0
7 Series,2019,North America,Blue,Hybrid,Manual,1.9,154969,59573,Low,99821.0
7 Series,2015,North America,Silver,Petrol,Manual,2.0,94963,35259,Low,95269.0
7 Series,2018,South America,Red,Petrol,Manual,2.1,15126,68852,High,97288.0
3 Series,2021,Africa,White,Electric,Automatic,2.2,199245,46512,High,36443.0
X1,2020,Middle East,White,Electric,Automatic,3.0,11732,59960,High,39365.0
7 Series,2024,Africa,Black,Electric,Automatic,3.7,42499,32106,High,91995.0
3 Series,2024,North America,Blue,Hybrid,Manual,3.7,168912,84452,Low,35866.0
3 Series,2019,Africa,Grey,Petrol,Manual,1.5,195806,71870,Low,37241.0
5 Series,2021,Asia,Silver,Petrol,Automatic,4.7,103259,102658,Low,30649.0
X3,2021,Europe,Black,Diesel,Automatic,4.4,60467,99438,Low,43910.0
5 Series,2022,Middle East,White,Diesel,Automatic,4.9,131892,115610,High,31535.0
X1,2013,South America,Black,Diesel,Manual,2.8,153909,116811,Low,35307.0
7 Series,2016,Asia,Blue,Hybrid,Automatic,3.8,81203,40862,High,86755.0
7 Series,2015,Africa,White,Petrol,Manual,2.1,85798,85330,Low,88114.0
X3,2011,Europe,Red,Electric,Manual,4.4,89723,42551,Low,42152.0
X5,2019,Europe,Silver,Hybrid,Manual,2.1,96333,63637,High,58533.0
X1,2020,Europe,Black,Electric,Manual,2.6,198003,84762,High,36082.0
M5,2020,Middle East,White,Hybrid,Automatic,3.2,24053,104645,High,106528.0
M3,2020,Middle East,White,Petrol,Automatic,3.6,118302,68303,Low,78814.0
M3,2024,North America,Silver,Petrol,Manual,3.5,80800,106536,Low,73032.0
M5,2024,Europe,Silver,Hybrid,Automatic,1.9,176547,32428,Low,112088.0
i8,2017,Europe,Silver,Hybrid,Manual,3.0,159325,90536,High,159342.0
X5,2016,Europe,Blue,Hybrid,Manual,4.7,126643,117339,Low,59912.0
5 Series,2024,Middle East,Red,Electric,Manual,4.6,37384,101303,Low,34802.0
M5,2024,Middle East,Black,Diesel,Automatic,3.6,172872,44827,High,107520.0
3 Series,2016,Africa,Black,Petrol,Automatic,3.5,164853,59752,Low,36130.0
X5,2023,South America,White,Hybrid,Automatic,1.9,167231,36922,Low,58287.0
X3,2024,North America,Grey,Petrol,Automatic,2.2,40075,87332,High,41136.0
X6,2017,Middle East,Red,Diesel,Manual,2.4,149723,82693,High,60912.0
i3,2021,Europe,White,Diesel,Automatic,3.2,50319,101808,Low,41945.0
X3,2021,Africa,Blue,Electric,Automatic,4.1,60656,66218,Low,41173.0
5 Series,2022,Europe,White,Electric,Manual,3.1,74232,38229,Low,35440.0
M5,2023,Middle East,Black,Electric,Manual,1.9,107461,45266,Low,106658.0
X1,2020,Asia,Red,Diesel,Manual,3.0,65288,94313,Low,38402.0
X6,2010,South America,Red,Hybrid,Automatic,2.1,63466,83565,Low,68384.0
7 Series,2024,Middle East,Red,Hybrid,Automatic,4.1,97953,94965,High,95515.0
M5,2022,North America,Red,Petrol,Automatic,2.1,106743,39294,Low,108856.0
M3,2010,Asia,Red,Diesel,Automatic,3.2,34822,87239,Low,72425.0
X5,2017,Europe,Black,Diesel,Automatic,3.9,114847,72347,Low,55481.0
X1,2013,North America,Silver,Hybrid,Manual,2.3,104368,55176,High,38143.0
M3,2014,Asia,White,Diesel,Manual,1.8,31850,47481,Low,78984.0
7 Series,2017,South America,White,Petrol,Manual,3.5,103733,92732,Low,91149.0
3 Series,2014,Africa,Red,Diesel,Automatic,1.7,37975,108684,Low,39134.0
3 Series,2019,North America,Grey,Petrol,Automatic,3.6,35805,115376,Low,39433.0
M3,2013,North America,Blue,Electric,Manual,4.1,135081,105977,High,71677.0
X3,2021,South America,Silver,Diesel,Manual,2.7,96857,42771,Low,43187.0
M5,2015,Africa,White,Electric,Automatic,3.2,140000,69289,High,110701.0
X1,2022,Asia,Black,Petrol,Manual,4.8,141266,35288,High,37650.0
X1,2024,Africa,Black,Petrol,Manual,3.1,164595,40788,High,37548.0
X3,2021,Middle East,Black,Diesel,Manual,5.0,54035,64767,Low,43187.0
X1,2014,Asia,Blue,Hybrid,Automatic,2.0,92581,88322,Low,35927.0
M3,2023,Middle East,Black,Diesel,Automatic,4.0,152587,67041,Low,78676.0
X1,2016,North America,Grey,Diesel,Manual,3.8,138938,63690,Low,35458.0
7 Series,2023,Middle East,Red,Diesel,Automatic,4.6,134890,77294,High,96987.0
M3,2019,North America,White,Hybrid,Automatic,1.8,164309,73046,Low,78054.0
X5,2016,Asia,Blue,Hybrid,Manual,2.5,27441,96696,High,59221.0
3 Series,2022,Europe,Grey,Hybrid,Manual,2.0,98934,117861,Low,37009.0
X3,2021,Africa,Red,Electric,Manual,3.0,120533,91448,Low,41175.0
X6,2022,South America,Black,Electric,Automatic,4.7,187546,65145,High,60417.0
3 Series,2014,Middle East,Grey,Electric,Automatic,2.5,63053,119541,Low,35822.0
3 Series,2022,Asia,Red,Hybrid,Manual,1.9,69900,35939,Low,39933.0
M5,2012,South America,Silver,Diesel,Manual,2.5,78739,50963,Low,110090.0
